"ESTRATO","DEPARTAMENTO","SEXO","EDAD","ESTADO_CIVIL","EDUCACION","FORMAL","HORAS_TRAB_SEM","BUSC_TRAB","TRAB_VEN","INGRESO_D_P","INGRESO_E_P","INGRESO_D_S","INGRESO_E_S","REMESAS_V","REMESAS_O"
3,"ANCASH",1,20,1,5,NA,39,1,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",2,14,6,3,2,40,1,2,150,0,NA,NA,NA,NA
3,"ANCASH",2,25,1,6,2,84,2,1,250,35,NA,NA,NA,NA
3,"ANCASH",1,20,1,5,2,84,1,1,300,35,NA,NA,NA,NA
2,"ANCASH",2,52,6,6,NA,84,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",2,29,6,9,NA,84,2,1,NA,NA,NA,NA,1,NA
3,"ANCASH",1,50,2,9,2,56,2,1,1200,0,NA,NA,NA,NA
3,"ANCASH",1,20,6,6,NA,70,2,2,NA,NA,NA,NA,2,NA
3,"ANCASH",1,26,2,9,NA,70,2,1,NA,NA,NA,NA,2,NA
3,"ANCASH",2,24,2,6,1,0,2,2,300,105,NA,NA,NA,NA
3,"ANCASH",2,54,6,6,2,14,2,1,150,12,NA,NA,1,NA
3,"ANCASH",2,33,1,10,1,50,1,1,250,0,NA,NA,1,NA
3,"ANCASH",2,29,1,8,1,50,2,1,230,0,NA,NA,1,NA
3,"ANCASH",1,41,6,10,2,91,2,1,280,56,210,0,2,NA
2,"ANCASH",1,31,3,6,NA,56,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",2,54,2,5,NA,36,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,24,6,6,NA,84,2,2,NA,NA,NA,NA,3,NA
2,"ANCASH",1,69,3,3,2,48,2,1,40,0,NA,NA,NA,NA
2,"ANCASH",2,26,6,6,2,35,2,1,30,0,NA,NA,1,NA
2,"ANCASH",2,18,6,6,2,66,2,1,40,0,NA,NA,1,NA
2,"ANCASH",1,28,6,6,2,48,2,1,465,0,NA,NA,1,NA
2,"ANCASH",1,30,1,6,NA,63,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,34,1,8,2,0,1,1,180,0,NA,NA,1,NA
2,"ANCASH",1,27,6,6,2,0,1,1,180,0,NA,NA,NA,NA
2,"ANCASH",2,28,6,8,2,72,1,1,200,0,NA,NA,NA,NA
2,"ANCASH",1,25,1,6,NA,42,2,2,NA,NA,NA,NA,2,NA
2,"ANCASH",1,35,1,6,NA,70,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",1,29,1,5,2,84,2,1,200,0,NA,NA,1,NA
1,"ANCASH",1,41,5,10,2,48,2,1,740,0,NA,NA,2,NA
1,"ANCASH",1,21,1,5,2,48,1,1,500,30,NA,NA,NA,NA
2,"ANCASH",1,36,1,10,NA,3,1,1,NA,NA,30,0,2,NA
2,"ANCASH",2,33,1,10,1,51,2,1,330,0,NA,NA,2,1
2,"ANCASH",1,26,6,6,2,42,2,1,210,48,NA,NA,1,NA
2,"ANCASH",1,31,1,5,2,66,2,1,300,60,NA,NA,NA,NA
2,"ANCASH",2,34,1,3,2,66,2,1,300,42,NA,NA,1,NA
2,"ANCASH",2,41,6,6,2,82,2,1,307,0,NA,NA,NA,NA
2,"ANCASH",1,22,1,4,NA,72,2,1,NA,NA,NA,NA,1,NA
2,"ANCASH",2,48,5,5,NA,18,2,2,NA,NA,NA,NA,1,NA
2,"ANCASH",2,23,6,9,2,40,2,2,200,0,NA,NA,1,NA
2,"ANCASH",1,24,6,6,NA,56,2,2,NA,NA,NA,NA,1,NA
2,"ANCASH",1,22,6,9,1,72,2,1,300,60,NA,NA,1,NA
2,"ANCASH",1,31,1,10,1,42,2,1,230,42,NA,NA,2,NA
2,"ANCASH",2,26,1,8,NA,48,2,1,NA,NA,NA,NA,2,NA
2,"ANCASH",1,40,1,5,NA,56,1,2,NA,NA,NA,NA,NA,NA
2,"ANCASH",1,38,1,10,NA,55,2,1,NA,NA,NA,NA,NA,NA
2,"ANCASH",2,26,1,10,2,10,2,1,300,0,NA,NA,1,NA
3,"ANCASH",2,26,6,5,2,60,2,2,40,10,NA,NA,2,NA
3,"ANCASH",1,32,1,3,2,0,2,1,300,0,NA,NA,1,NA
3,"ANCASH",1,27,6,6,NA,56,2,1,NA,NA,850,0,1,NA
3,"ANCASH",2,45,1,5,2,70,2,2,240,56,NA,NA,3,NA
3,"ANCASH",1,34,1,3,2,0,2,1,50,0,NA,NA,NA,NA
3,"ANCASH",2,29,1,6,2,0,2,2,300,0,NA,NA,1,NA
3,"ANCASH",1,37,1,5,2,26,2,1,300,0,NA,NA,NA,NA
3,"ANCASH",1,50,1,6,2,66,2,1,350,0,NA,NA,NA,NA
3,"ANCASH",2,40,1,6,2,39,2,1,200,0,NA,NA,NA,1
2,"ANCASH",2,19,1,3,2,90,2,2,400,63,NA,NA,2,NA
2,"ANCASH",1,21,1,5,2,48,2,1,420,60,NA,NA,1,NA
2,"ANCASH",2,20,1,6,2,77,2,1,500,0,NA,NA,1,NA
2,"ANCASH",1,24,1,3,2,84,1,1,500,0,NA,NA,NA,NA
2,"ANCASH",1,28,6,5,2,33,2,1,120,24,NA,NA,1,NA
2,"ANCASH",2,21,1,5,2,66,2,1,310,36,NA,NA,NA,NA
2,"ANCASH",1,22,1,5,2,66,2,1,500,18,NA,NA,NA,NA
2,"ANCASH",1,18,6,5,2,82,2,1,450,45,NA,NA,NA,NA
2,"ANCASH",2,29,1,6,2,39,2,2,350,0,NA,NA,2,NA
2,"ANCASH",1,32,1,5,2,39,2,1,250,0,NA,NA,2,NA
2,"ANCASH",1,21,6,3,2,78,2,1,360,0,NA,NA,2,NA
2,"ANCASH",1,29,1,5,2,12,2,1,240,0,NA,NA,2,2
2,"ANCASH",2,31,1,10,2,72,2,1,300,0,NA,NA,2,NA
2,"ANCASH",1,24,1,5,NA,24,2,1,NA,NA,NA,NA,NA,NA
2,"ANCASH",1,32,1,9,2,68,1,1,280,0,NA,NA,NA,NA
2,"ANCASH",1,23,1,5,NA,54,2,1,NA,NA,NA,NA,2,NA
2,"ANCASH",1,23,1,6,NA,78,2,1,NA,NA,NA,NA,NA,NA
3,"ANCASH",1,38,1,10,2,50,1,1,300,0,NA,NA,2,NA
3,"ANCASH",2,49,6,10,2,77,2,1,300,56,NA,NA,NA,NA
3,"ANCASH",2,45,6,10,2,84,2,1,180,35,NA,NA,2,NA
3,"ANCASH",2,52,6,10,2,82,2,1,180,0,NA,NA,2,NA
3,"ANCASH",2,50,6,6,2,75,1,1,150,0,NA,NA,1,NA
3,"ANCASH",2,28,1,9,2,28,2,2,238,40,NA,NA,2,NA
