"ESTRATO","DEPARTAMENTO","P204","P205A","P612","P613","P614T","P615T","P617","P619","P621","P6221","P6222","P625","P635","P636","P6381","P6382","P6383","P6384","P6391","P6392"
3,"AREQUIPA",1,29,1,2,8,48,2,1,2,200,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,21,1,2,10,48,2,1,2,300,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,20,1,2,8,48,2,2,4,930,0,2,2,2,2,2,2,2,2,2
3,"AREQUIPA",1,20,1,1,5,60,2,2,2,200,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,21,1,2,8,48,2,2,2,180,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,21,1,2,5,48,2,2,2,200,0,2,2,2,2,2,2,2,1,2
3,"AREQUIPA",2,38,1,2,4,48,2,2,2,200,0,1,2,2,2,2,2,2,1,2
3,"AREQUIPA",1,38,1,1,8,60,2,2,4,1200,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,36,2,2,1,48,1,1,3,465,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,46,1,2,10,42,2,1,2,180,48,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",2,40,1,2,12,60,2,2,2,120,30,1,2,2,2,2,2,2,2,2
3,"AREQUIPA",2,20,1,2,8,60,2,1,3,350,0,2,2,2,2,2,2,2,2,2
3,"AREQUIPA",2,18,1,2,3,60,2,1,2,200,0,2,2,2,2,2,2,2,2,2
3,"AREQUIPA",1,24,1,1,7,48,2,2,3,600,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,25,1,2,10,60,2,2,4,1100,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,26,1,2,4,60,1,2,2,175,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,24,1,2,4,60,1,2,2,180,0,1,2,2,2,2,2,2,1,2
3,"AREQUIPA",1,32,1,2,4,60,1,2,2,200,250,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,26,1,2,12,60,1,1,2,230,200,2,2,2,2,2,2,2,1,2
3,"AREQUIPA",1,32,1,2,4,60,2,1,2,250,36,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,23,1,2,6,71,2,1,2,500,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,26,1,2,28,77,2,2,1,50,10,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,28,1,2,10,54,1,1,4,1300,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,28,1,2,6,60,2,1,3,700,0,1,2,2,2,2,2,2,1,2
3,"AREQUIPA",1,37,1,2,4,48,1,1,2,250,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,29,1,2,3,52,2,2,3,600,150,1,2,1,2,2,2,2,2,2
2,"AREQUIPA",2,22,1,2,1,51,1,2,3,450,75,2,1,1,2,2,2,2,1,2
2,"AREQUIPA",1,39,1,2,47,50,1,2,3,1000,0,2,1,1,2,2,2,2,2,2
2,"AREQUIPA",2,31,1,2,5,60,2,1,3,465,0,1,1,1,2,2,2,2,2,2
2,"AREQUIPA",1,31,1,1,15,48,2,2,4,1400,60,2,2,1,2,2,2,2,2,2
2,"AREQUIPA",2,26,1,2,6,60,2,1,4,1100,0,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,37,1,2,29,67,2,2,4,930,0,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",2,28,1,2,11,70,2,2,4,850,0,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,32,1,2,5,66,2,2,4,850,300,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",2,23,1,2,12,60,2,2,4,900,100,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,32,1,2,9,51,1,1,2,500,105,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,26,1,2,6,60,1,1,3,500,150,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",2,27,1,2,12,66,1,1,4,900,150,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,25,1,2,20,76,2,2,4,2500,0,1,2,2,2,2,2,2,1,2
2,"AREQUIPA",2,25,1,2,3,48,2,2,2,175,60,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,28,1,2,10,62,1,1,2,360,60,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,31,1,2,2,65,2,2,2,100,0,1,2,1,2,2,2,1,2,2
3,"AREQUIPA",1,39,1,2,30,72,2,2,3,300,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,35,1,2,60,66,2,2,4,1250,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,34,1,2,10,7,2,2,1,50,15,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,27,1,2,60,70,2,2,4,1300,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,30,3,2,35,54,1,1,NA,NA,NA,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,34,1,2,2,66,1,1,1,30,7,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,34,1,1,1,55,2,2,4,1400,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,37,1,1,1,42,2,2,4,2600,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,32,1,1,17,60,2,2,4,950,0,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,31,1,2,2,70,2,2,2,280,0,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",2,32,2,2,1,12,1,1,2,50,10,2,2,2,1,2,2,2,2,2
3,"AREQUIPA",1,32,1,2,10,60,2,2,4,1200,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,1,6,48,2,2,1,70,10,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,16,1,2,3,67,1,1,2,180,42,2,2,2,2,2,2,2,2,2
3,"AREQUIPA",1,31,1,2,2,48,1,1,2,250,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,38,1,2,3,32,2,1,3,800,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,2,4,49,1,1,3,840,70,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,46,1,2,5,72,2,1,4,930,180,2,2,1,1,2,2,2,1,2
3,"AREQUIPA",2,43,1,2,8,72,2,2,2,230,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,34,1,2,4,78,2,2,3,500,180,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,31,1,2,2,66,2,2,4,1200,40,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,40,1,2,5,63,2,1,3,480,150,1,1,1,2,2,2,2,2,2
3,"AREQUIPA",2,42,1,2,5,48,2,1,3,225,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,40,1,2,12,48,2,2,3,500,120,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,38,1,2,8,48,2,2,2,250,50,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,33,1,2,5,72,2,2,2,400,180,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,32,1,2,5,72,2,2,3,500,30,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,32,1,1,15,67,2,2,3,465,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,31,1,2,NA,66,1,2,3,475,112,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,34,1,2,1,72,1,2,2,230,48,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,32,1,2,1,72,1,2,3,225,48,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,28,1,2,50,66,1,2,2,220,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,25,1,2,10,60,2,2,3,550,150,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,1,10,77,1,2,2,230,18,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,38,1,2,3,77,1,2,1,35,0,1,1,1,2,2,2,2,2,2
3,"AREQUIPA",2,34,1,2,80,52,2,2,1,55,15,2,1,2,2,2,2,2,1,2
3,"AREQUIPA",1,41,1,2,15,40,1,1,1,45,0,2,1,1,2,2,2,1,2,2
3,"AREQUIPA",1,41,1,2,3,54,1,2,4,950,0,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",2,42,1,2,3,54,2,2,4,950,0,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",2,19,1,2,5,72,2,2,1,25,8,2,1,2,2,2,2,2,1,2
3,"AREQUIPA",1,20,3,2,2,20,2,2,NA,NA,NA,1,1,2,2,2,2,2,2,2
2,"AREQUIPA",1,36,1,2,68,66,2,2,4,1200,0,1,1,1,2,2,2,2,1,2
2,"AREQUIPA",2,31,1,2,6,70,2,2,4,900,0,1,2,1,2,2,2,2,2,2
2,"AREQUIPA",1,33,1,2,68,66,1,2,4,1000,0,1,2,1,2,2,2,2,2,2
2,"AREQUIPA",1,20,1,2,12,60,1,2,2,150,0,2,2,2,2,2,2,2,1,2
2,"AREQUIPA",2,60,1,2,8,60,2,2,3,950,0,2,2,1,2,2,2,2,2,2
2,"AREQUIPA",1,41,1,2,1,70,1,2,3,885,0,2,2,1,2,2,2,2,2,2
2,"AREQUIPA",1,19,1,1,1,70,1,2,3,950,0,2,2,1,2,2,2,2,2,2
2,"AREQUIPA",1,23,1,1,6,66,2,2,2,250,48,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,31,1,2,2,78,1,2,1,50,8,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,39,1,2,25,66,1,2,3,540,112,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,23,1,2,25,66,2,2,1,50,84,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,25,1,2,3,77,1,2,3,420,100,2,1,1,2,2,2,2,1,2
2,"AREQUIPA",1,24,1,2,3,60,1,2,1,60,0,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,27,1,2,1,66,2,2,2,250,90,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",2,27,1,2,2,72,2,2,4,900,144,1,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,31,1,2,1,66,2,2,2,250,70,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,20,1,2,5,48,2,1,2,360,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,29,1,2,5,48,2,2,4,930,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,24,1,2,5,60,2,1,4,800,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,22,1,2,5,60,2,1,3,300,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,21,1,2,5,54,2,2,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,24,1,2,6,84,2,1,4,930,240,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,21,1,2,3,66,2,1,2,200,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,21,1,2,5,48,2,2,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,22,1,2,5,60,2,2,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,24,1,2,5,60,2,1,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,23,1,2,12,48,2,1,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,24,1,2,21,50,2,1,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,21,1,1,30,48,1,1,4,930,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,46,1,2,3,48,1,2,4,930,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,35,1,2,2,30,1,1,3,200,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,33,1,2,2,66,2,1,2,200,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,2,10,60,1,1,2,300,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,28,1,2,8,55,2,2,3,400,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,44,1,2,5,60,2,2,4,930,240,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,24,1,2,3,54,2,1,2,200,0,2,1,1,2,2,2,2,2,2
3,"AREQUIPA",2,22,1,2,4,60,2,1,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,25,1,1,NA,48,2,2,4,930,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,26,1,2,5,91,2,1,4,900,540,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,18,1,2,6,12,1,1,2,140,20,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,26,1,2,8,24,1,1,1,120,10,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,2,5,52,1,2,2,250,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,24,1,2,8,72,1,1,1,60,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,31,1,2,20,10,1,2,1,80,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,2,50,72,2,2,4,1000,0,2,1,1,2,2,2,2,2,2
3,"AREQUIPA",1,34,1,2,50,79,2,2,4,1350,0,2,1,1,2,2,2,2,2,2
3,"AREQUIPA",2,23,1,2,4,20,2,2,4,900,0,2,2,1,2,2,2,2,1,1
3,"AREQUIPA",2,23,1,2,NA,58,2,2,4,1200,84,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",1,33,1,2,5,54,1,2,2,245,0,2,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,25,1,2,40,53,1,2,3,600,24,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,29,1,2,40,53,1,2,3,505,24,2,1,1,2,2,2,2,1,1
3,"AREQUIPA",2,22,1,2,3,48,2,2,2,812,42,2,2,2,2,2,2,2,1,2
3,"AREQUIPA",1,22,1,2,8,50,2,2,2,250,20,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,51,1,2,3,64,1,1,3,375,60,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,45,1,2,50,51,1,2,3,465,105,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,25,1,2,50,16,1,1,1,35,7,2,2,1,2,2,2,2,1,2
2,"AREQUIPA",1,23,1,1,10,66,1,2,4,1200,150,2,1,1,2,2,2,2,1,2
2,"AREQUIPA",2,20,1,1,NA,30,2,2,3,200,0,2,1,1,2,2,2,2,1,2
2,"AREQUIPA",2,29,1,2,3,55,1,2,3,350,0,1,2,1,2,2,2,2,1,1
3,"AREQUIPA",1,26,1,2,9,56,1,2,4,930,49,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,37,1,2,10,60,2,2,4,1500,0,1,1,1,2,2,2,2,1,2
3,"AREQUIPA",2,32,1,2,4,66,2,2,4,650,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,27,1,2,3,84,2,2,3,450,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,33,1,2,3,84,2,2,3,425,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,28,1,1,2,60,2,2,2,220,150,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,40,2,2,1,60,2,2,2,200,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,34,1,2,3,60,2,2,2,258,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",1,42,1,2,4,58,1,2,2,220,0,2,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,19,1,2,6,60,2,2,2,230,0,2,2,2,2,2,2,2,1,2
3,"AREQUIPA",2,18,1,1,12,35,2,2,2,150,49,2,1,2,2,2,2,2,1,2
2,"AREQUIPA",1,43,1,2,1,60,2,2,4,1500,0,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,48,1,2,1,55,1,2,2,180,0,2,2,1,2,2,2,2,2,2
3,"AREQUIPA",2,20,1,2,4,84,2,2,4,700,180,1,1,2,2,2,2,2,2,2
3,"AREQUIPA",2,22,1,2,3,91,2,2,3,420,210,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,20,1,2,10,84,2,2,4,800,150,1,2,1,2,2,2,2,1,2
3,"AREQUIPA",2,17,1,2,2,84,2,2,2,100,63,1,2,1,2,2,2,2,2,2
3,"AREQUIPA",1,27,1,2,2,54,2,2,2,450,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",1,33,1,2,4,84,2,2,1,50,0,1,1,1,2,2,2,2,1,2
2,"CALLAO",1,32,1,2,4,32,2,2,1,60,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",1,30,1,2,4,84,2,2,1,50,0,1,2,1,2,2,2,2,1,2
2,"CALLAO",1,31,1,2,3,72,2,2,3,600,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",2,25,1,2,3,48,2,2,3,410,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",2,27,1,2,4,72,2,2,3,600,0,2,2,1,2,2,2,2,1,2
2,"CALLAO",1,28,1,1,3,72,2,2,3,600,0,2,2,1,2,2,2,2,1,2
3,"CALLAO",1,23,1,2,40,51,2,2,3,300,0,1,1,1,2,2,2,2,1,2
3,"CALLAO",1,25,1,2,13,36,1,2,2,200,28,2,1,1,2,2,2,2,1,2
3,"CALLAO",2,42,1,2,2,54,2,2,2,180,0,1,2,1,2,2,2,2,1,2
3,"CALLAO",1,21,1,2,2,76,2,2,1,40,0,1,2,1,2,2,2,2,1,2
3,"CALLAO",1,21,1,2,6,72,2,2,3,500,0,1,2,2,2,2,2,2,1,2
3,"CALLAO",1,27,1,2,4,72,2,2,3,600,0,1,2,1,2,2,2,2,1,2
