"ESTRATO","DEPARTAMENTO","P204","P205_A","P612","P613","P614_T","P615_T","P617","P619","P621","P622_1","P622_2","P625","P635","P636","P638_1","P638_2","P638_3","P638_4","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2"
3,"AREQUIPA",1,23,4,2,3,47,2,2,2,250,0,1,3,2,2,2,2,2,1,1,2,1,2
2,"AREQUIPA",2,38,3,2,2,60,2,2,2,232,0,2,3,1,2,2,2,2,1,2,2,1,2
2,"AREQUIPA",2,46,3,2,1,66,2,2,2,232,0,2,3,1,2,2,2,2,1,2,4,2,2
2,"AREQUIPA",1,30,3,2,6,51,1,1,3,450,0,1,1,1,2,2,2,2,2,NA,NA,NA,1
2,"AREQUIPA",2,22,3,2,3,66,2,2,3,425,0,1,3,2,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",2,20,4,2,15,63,2,1,3,465,0,1,2,2,2,2,2,2,1,1,3,2,1
3,"AREQUIPA",1,37,3,2,25,48,2,2,2,300,0,2,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,29,4,2,8,48,2,1,2,200,0,1,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",1,21,3,2,10,48,2,1,2,300,0,1,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,20,3,2,8,48,2,2,4,930,0,2,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,20,3,1,5,60,2,2,2,200,0,2,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,21,3,2,8,48,2,2,2,180,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,21,3,2,5,48,2,2,2,200,0,2,3,2,2,2,2,2,1,1,4,3,2
3,"AREQUIPA",2,38,3,2,4,48,2,2,2,200,0,1,3,2,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,38,3,1,8,60,2,2,4,1200,0,2,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,36,6,2,1,48,1,1,3,465,0,2,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",1,46,3,2,10,42,2,1,2,180,48,2,3,1,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,40,3,2,12,60,2,2,2,120,30,1,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,20,3,2,8,60,2,1,3,350,0,2,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",2,18,3,2,3,60,2,1,2,200,0,2,3,2,2,2,2,2,2,NA,NA,NA,2
3,"AREQUIPA",1,24,3,1,7,48,2,2,3,600,0,2,3,1,2,2,2,2,1,1,4,2,2
3,"AREQUIPA",2,25,3,2,10,60,2,2,4,1100,0,2,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,26,3,2,4,60,1,2,2,175,0,1,3,1,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,24,3,2,4,60,1,2,2,180,0,1,3,2,2,2,2,2,1,1,4,1,2
3,"AREQUIPA",1,32,3,2,4,60,1,2,2,200,250,2,3,1,2,2,2,2,1,2,2,2,2
3,"AREQUIPA",2,26,3,2,12,60,1,1,2,230,200,2,3,2,2,2,2,2,1,2,2,1,2
3,"AREQUIPA",1,32,3,2,4,60,2,1,2,250,36,2,3,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",2,23,3,2,6,71,2,1,2,500,0,1,3,1,2,2,2,2,1,1,3,2,2
3,"AREQUIPA",1,26,4,2,28,77,2,2,1,50,10,2,3,1,2,2,2,2,1,2,3,2,2
3,"AREQUIPA",1,28,4,2,10,54,1,1,4,1300,0,1,3,1,2,2,2,2,1,2,2,2,2
3,"AREQUIPA",1,28,4,2,6,60,2,1,3,700,0,1,3,2,2,2,2,2,1,2,3,2,2
3,"AREQUIPA",1,37,4,2,4,48,1,1,2,250,0,1,3,1,2,2,2,2,1,1,3,1,2
3,"AREQUIPA",2,29,3,2,3,52,2,2,3,600,150,1,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",2,22,3,2,1,51,1,2,3,450,75,2,1,1,2,2,2,2,1,2,4,1,2
2,"AREQUIPA",1,39,4,2,47,50,1,2,3,1000,0,2,1,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",2,31,3,2,5,60,2,1,3,465,0,1,1,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",1,31,3,1,15,48,2,2,4,1400,60,2,3,1,2,2,2,2,2,NA,NA,NA,2
2,"AREQUIPA",2,26,4,2,6,60,2,1,4,1100,0,1,3,1,2,2,2,2,1,2,4,2,2
2,"AREQUIPA",1,37,4,2,29,67,2,2,4,930,0,2,3,1,2,2,2,2,1,2,2,2,2
2,"AREQUIPA",2,28,3,2,11,70,2,2,4,850,0,2,3,1,2,2,2,2,1,2,4,2,2
2,"AREQUIPA",1,32,3,2,5,66,2,2,4,850,300,2,3,1,2,2,2,2,1,2,4,2,2
2,"AREQUIPA",2,23,3,2,12,60,2,2,4,900,100,2,3,1,2,2,2,2,1,2,4,3,2
2,"AREQUIPA",1,32,4,2,9,51,1,1,2,500,105,1,3,1,2,2,2,2,1,2,3,2,2
