"ESTRATO","DEPARTAMENTO","P204","P205_A","P608","P612","P613","P614","P614_T","P615_1","P615_2","P615_3","P615_4","P615_5","P615_6","P615_7","P615_8","P615_9","P615_10","P615_11","P615_12","P615_13","P615_14","P615_T","P616","P616A","P617","P618","P619","P620","P621","P622_1","P622_2","P623_1","P623_2","P623_3","P624_1","P624_2","P624_3","P624_4","P625","P626","P627","P628","P629","P630","P631","P632_1","P632_2","P632_3","P632_4","P632_5","P632_6","P632_7","P632_8","P632_9","P632_10","P632_I","P633","P634_1","P634_2","P634_3","P634_4","P634_5","P634_6","P634_7","P635","P636","P638_1","P638_1_1","P638_1_2","P638_2","P638_2_1","P638_2_2","P638_3","P638_3_1","P638_3_2","P638_4","P638_4_1","P638_4_2","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2","P639_2_1","P639_2_2","P639_2_3"
3,"ANCASH",1,17,NA,3,2,4,160,0,8,8,0,8,8,8,0,0,0,0,0,0,0,40,1,NA,2,NA,2,1,2,180,42,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA
2,"ANCASH",1,22,NA,3,2,1,3,0,12,12,12,12,12,12,0,0,0,0,0,0,0,72,1,NA,2,NA,2,1,2,250,48,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,2,2,1,2,NA,NA,NA
2,"ANCASH",2,18,NA,3,2,1,3,0,11,11,11,11,11,11,0,0,0,0,0,0,0,66,1,NA,1,2,1,1,1,35,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,2,2,1,2,NA,NA,NA
2,"ANCASH",2,47,NA,3,1,4,300,0,12,12,12,12,12,12,0,0,0,2,3,0,0,77,2,60,2,NA,2,1,2,550,0,NA,NA,NA,60,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,3,1,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,3,1,2,NA,NA,NA
2,"ANCASH",1,14,NA,3,2,1,5,0,9,9,9,0,0,0,0,0,0,0,7,7,7,48,2,10,2,NA,2,2,2,50,0,NA,NA,NA,60,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA
2,"ANCASH",2,21,NA,6,2,1,2,0,9,9,9,9,9,9,0,0,0,0,0,0,0,54,1,NA,2,NA,1,1,2,120,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,3,1,1,1,4,1
2,"ANCASH",1,21,NA,3,2,1,10,0,9,9,9,9,9,9,0,0,0,0,0,0,0,54,1,NA,2,NA,2,1,2,300,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA
2,"ANCASH",1,30,NA,3,2,4,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,1,1,2,6,2,400,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,3,2,2,NA,NA,NA
2,"ANCASH",2,19,NA,3,2,3,100,0,12,12,12,12,12,0,0,0,0,0,0,0,0,60,2,72,1,1,1,1,2,280,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,3,1,2,NA,NA,NA
2,"ANCASH",1,22,NA,3,2,1,3,0,9,9,9,9,9,9,0,0,0,0,0,0,0,54,1,NA,2,NA,1,1,2,300,36,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,3,2,2,NA,NA,NA
2,"ANCASH",2,35,NA,3,2,4,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,1,1,2,6,2,287,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,3,1,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,2,1,2,NA,NA,NA
2,"ANCASH",1,24,NA,3,2,4,400,0,13,12,12,12,12,10,0,0,0,0,0,0,0,71,1,NA,2,NA,1,1,2,300,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,2,3,1,2,NA,NA,NA
2,"ANCASH",2,22,NA,3,2,4,400,0,12,10,10,10,10,10,0,0,0,0,0,0,0,62,1,NA,2,NA,2,1,2,220,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA
2,"ANCASH",1,23,NA,3,2,1,11,0,13,13,13,13,13,13,0,0,0,0,0,0,0,78,1,NA,2,NA,2,1,2,250,0,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,3,2,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,1,1,2,1,2,NA,NA,NA
