"ESTRATO","DEPARTAMENTO","P204","P205_A","P612","P613","P614_T","P615_T","P617","P619","P621","P622_1","P622_2","P625","P635","P636","P638_1","P638_2","P638_3","P638_4","P639_1","P639_1_1","P639_1_2","P639_1_3","P639_2"
5,"ANCASH",1,36,3,1,110,0,2,2,3,800,150,1,3,1,2,2,2,2,1,1,6,2,2
4,"ANCASH",2,33,3,2,4,48,2,2,3,400,150,1,3,2,2,2,2,2,2,NA,NA,NA,2
5,"ANCASH",1,24,3,1,4,72,2,2,2,380,72,1,1,1,2,2,2,2,1,2,2,1,2
4,"ANCASH",1,28,3,1,300,70,2,2,2,350,0,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"ANCASH",2,46,3,2,2,72,2,2,1,40,7,1,3,1,2,2,2,2,1,1,4,2,2
3,"ANCASH",1,53,3,2,3,72,2,2,2,400,25,1,1,1,2,2,2,2,1,1,4,2,2
3,"ANCASH",1,16,3,2,120,20,1,2,2,120,0,2,3,2,2,2,2,2,2,NA,NA,NA,2
3,"ANCASH",2,38,3,2,4,48,2,1,2,240,42,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"ANCASH",2,33,3,2,11,54,2,2,2,350,49,1,3,1,2,2,2,2,2,NA,NA,NA,2
3,"ANCASH",1,47,3,1,34,44,2,2,2,300,0,1,3,1,2,2,2,2,1,1,2,2,2
3,"ANCASH",2,38,3,2,150,36,2,2,2,2003,0,1,3,2,2,2,2,2,2,NA,NA,NA,2
3,"ANCASH",1,19,3,2,180,40,2,2,2,180,35,1,3,2,2,2,2,2,2,NA,NA,NA,2
3,"ANCASH",1,17,3,2,160,40,2,2,2,180,42,1,3,2,2,2,2,2,2,NA,NA,NA,2
2,"ANCASH",1,22,3,2,3,72,2,2,2,250,48,1,2,2,2,2,2,2,1,2,2,1,2
2,"ANCASH",2,18,3,2,3,66,1,1,1,35,0,1,3,2,2,2,2,2,1,2,2,1,2
2,"ANCASH",2,47,3,1,300,77,2,2,2,550,0,1,3,1,2,2,2,2,1,1,3,1,2
2,"ANCASH",1,14,3,2,5,48,2,2,2,50,0,1,3,2,2,2,2,2,2,NA,NA,NA,2
2,"ANCASH",2,21,6,2,2,54,2,1,2,120,0,1,3,1,2,2,2,2,1,1,3,1,1
2,"ANCASH",1,21,3,2,10,54,2,2,2,300,0,1,3,2,2,2,2,2,2,NA,NA,NA,2
2,"ANCASH",1,30,3,2,400,0,1,2,2,400,0,1,3,1,2,2,2,2,1,1,3,2,2
2,"ANCASH",2,19,3,2,100,60,1,1,2,280,0,1,3,2,2,2,2,2,1,1,3,1,2
2,"ANCASH",1,22,3,2,3,54,2,1,2,300,36,1,3,2,2,2,2,2,1,1,3,2,2
2,"ANCASH",2,35,3,2,400,0,1,2,2,287,0,1,3,1,2,2,2,2,1,1,2,1,2
2,"ANCASH",1,24,3,2,400,71,2,1,2,300,0,1,3,1,2,2,2,2,1,2,3,1,2
